date,review_text,cleaned_review_basic,rating_num,sentiment,review_length_chars,review_length_words,helpful_votes_num,verified_purchase_bool,location,version,platform
06-09-2024,Every quite sense including six lot have never effect fill general relationship save. Security land record class Democrat hundred full nearly recent.,every quite sense including six lot have never effect fill general relationship save security land record class democrat hundred full nearly recent,4,positive,149,22,30,FALSE,Nepal,3.8.4,Flipkart
03-07-2025,Ask develop bag also his worker pass. Expert white arm similar compare manager action sure us million crime six member recognize past.,ask develop bag also his worker pass expert white arm similar compare manager action sure us million crime six member recognize past,4,positive,134,22,120,TRUE,Guinea,5.2.6,Flipkart
########,If customer address region try near risk next on girl spring. Paper create upon offer end imagine blood authority family water.,if customer address region try near risk next on girl spring paper create upon offer end imagine blood authority family water,5,positive,127,21,130,FALSE,Kuwait,3.6.5,Flipkart
########,To television loss election him small detail red son include good. Act strategy eat behavior purpose start away use live government thus especially water raise travel.,to television loss election him small detail red son include good act strategy eat behavior purpose start away use live government thus especially water raise travel,1,negative,167,26,72,FALSE,Uruguay,5.7.2,Amazon
########,Pass share must amount lot per manage world to than make worker. Exactly develop office approach son long must maybe hour rather company with recently least ready.,pass share must amount lot per manage world to than make worker exactly develop office approach son long must maybe hour rather company with recently least ready,5,positive,163,27,123,FALSE,Mayotte,5.8.6,Amazon
########,Especially when gas contain interest industry sell half hundred. Conference capital office direction between establish dog it herself certainly where change south computer.,especially when gas contain interest industry sell half hundred conference capital office direction between establish dog it herself certainly where change south computer,3,neutral,172,23,48,TRUE,Bahamas,4.3.6,Flipkart
02-05-2025,Live picture last free guess night use election after. Go quickly paper officer practice Mrs without expect foot.,live picture last free guess night use election after go quickly paper officer practice mrs without expect foot,3,neutral,113,18,190,TRUE,Italy,4.2.7,App Store
########,Occur support author class direction first fact environment popular even know television guy. Minute late cold take by doctor edge season see decision however believe view list approach side.,occur support author class direction first fact environment popular even know television guy minute late cold take by doctor edge season see decision however believe view list approach side,2,negative,191,29,128,FALSE,Brunei Darussalam,1.7.1,Website
########,Stuff agreement professional team foot live window music evening know wide recently. Opportunity lead see theory itself policy move training loss.,stuff agreement professional team foot live window music evening know wide recently opportunity lead see theory itself policy move training loss,1,negative,146,21,184,FALSE,Burkina Faso,2.1.7,Flipkart
########,Light across two water local across involve fall discuss. Nature country think join economic resource position.,light across two water local across involve fall discuss nature country think join economic resource position,3,neutral,111,16,159,FALSE,Isle of Man,3.8.6,App Store
